generation,Npop,diversity,encountered,core_pop,core_size,E,F,mu
148,393,48,642,329,3,0,12468.6,0.1
149,381,50,645,305,3,0,11249,0.1
150,404,47,646,327,3,0,12681.5,0.1
151,406,45,647,335,3,0,13087.1,0.1
152,399,47,647,328,3,0,12819.6,0.1
153,388,45,648,318,3,0,11871.6,0.1
154,375,45,650,299,3,0,10519.2,0.1
155,379,45,651,308,3,0,11263.2,0.1
156,392,48,652,318,3,0,11987.2,0.1
157,401,44,654,330,3,0,12688.3,0.1
158,395,39,658,326,3,0,12488.7,0.1
159,384,43,659,315,3,0,11672.6,0.1
160,386,46,660,312,3,0,11681.4,0.1
161,392,40,660,322,3,0,12045.5,0.1
162,404,39,661,336,3,0,13139.6,0.1
163,385,41,661,318,3,0,11923,0.1
164,381,41,661,313,3,0,11694.5,0.1
