generation,Npop,diversity,encountered,core_pop,core_size
924,642,101,3726,402,4
925,644,104,3726,418,8
926,669,108,3727,421,5
927,681,102,3727,433,5
928,661,106,3728,416,5
929,711,106,3729,477,6
930,689,101,3731,457,5
931,703,99,3732,479,7
932,672,102,3732,456,7
933,675,100,3733,429,4
934,657,110,3736,436,6
935,686,108,3736,455,5
936,693,114,3739,449,4
937,745,105,3739,500,5
938,704,109,3742,468,6
939,690,100,3743,446,4
940,671,98,3745,434,5
941,629,103,3747,407,6
942,674,90,3747,436,4
943,678,96,3747,428,4
944,674,109,3748,427,4
945,684,99,3748,455,6
946,691,102,3749,471,7
947,657,99,3749,458,11
948,675,109,3750,458,10
949,707,116,3751,461,5
950,642,106,3752,401,5
951,676,105,3753,431,4
952,661,113,3753,419,4
953,661,110,3753,417,5
954,689,108,3756,472,8
955,683,96,3756,454,6
956,686,93,3756,459,5
957,645,97,3756,426,5
958,712,102,3756,482,4
959,695,99,3756,455,4
960,641,105,3757,416,6
961,646,111,3757,393,4
962,706,113,3758,471,5
963,699,99,3758,469,5
964,638,100,3758,419,6
965,645,100,3758,425,6
966,647,100,3758,403,4
967,635,103,3759,406,7
968,687,98,3760,456,6
969,690,103,3761,452,4
970,702,107,3764,461,4
971,656,110,3764,416,5
972,652,108,3764,429,7
973,711,105,3764,473,7
974,705,102,3764,473,8
975,690,104,3765,454,6
976,676,109,3765,437,8
977,689,109,3765,447,6
978,700,115,3766,457,5
979,672,100,3767,416,4
980,662,103,3768,409,4
981,657,102,3769,402,4
982,699,93,3769,456,4
983,697,99,3771,447,4
984,660,104,3771,406,4
985,693,99,3772,445,4
986,716,106,3774,488,6
987,714,104,3774,485,6
988,673,105,3775,425,4
989,670,103,3776,435,4
990,739,105,3780,501,5
991,671,109,3782,449,9
992,696,111,3782,444,5
993,692,116,3784,443,5
994,704,110,3785,468,4
995,673,104,3787,445,4
996,612,93,3789,406,6
997,695,103,3789,456,6
998,701,105,3789,459,6
999,692,102,3790,457,4
1000,678,101,3790,444,5
1001,693,97,3790,461,5
1002,674,100,3790,438,5
1003,686,94,3791,463,7
1004,714,101,3791,472,6
1005,708,99,3794,462,4
1006,656,99,3794,421,4
1007,718,106,3794,477,6
1008,692,114,3795,436,4
1009,680,110,3798,457,7
1010,636,104,3799,393,6
1011,631,107,3799,396,6
1012,650,92,3800,407,4
1013,658,94,3800,426,4
1014,694,91,3802,471,4
1015,684,100,3805,455,8
1016,684,108,3806,464,10
1017,725,105,3807,478,5
1018,667,112,3807,433,7
1019,689,103,3807,437,5
1020,668,113,3809,432,7
1021,675,108,3809,452,8
1022,673,108,3809,450,8
1023,697,101,3809,458,5
1024,686,110,3810,443,4
1025,674,114,3810,425,5
1026,706,101,3811,456,4
1027,711,108,3812,456,6
1028,685,104,3814,433,6
1029,685,105,3814,434,5
1030,727,103,3814,488,5
1031,665,110,3815,413,4
1032,627,102,3815,380,5
1033,658,109,3816,422,4
1034,706,105,3817,463,4
