generation,Npop,diversity,encountered,core_pop,core_size
2266,564,93,11324,378,9
2267,652,91,11325,446,5
2268,584,90,11326,368,5
2269,614,95,11327,395,5
2270,628,100,11328,417,6
2271,649,93,11328,428,4
2272,682,92,11329,452,3
2273,628,97,11332,430,5
2274,620,98,11332,418,5
2275,625,96,11333,412,4
2276,619,90,11333,442,9
2277,555,92,11335,357,5
2278,526,91,11336,345,9
2279,561,92,11338,370,7
2280,599,97,11340,420,9
2281,641,97,11340,435,5
2282,596,90,11341,397,7
2283,619,92,11343,410,5
2284,600,91,11345,408,8
2285,625,89,11345,439,6
2286,627,86,11347,419,4
2287,536,88,11348,371,10
2288,585,89,11349,400,9
2289,611,92,11349,410,7
2290,571,87,11349,391,10
2291,608,93,11350,413,8
2292,610,96,11350,405,6
2293,620,94,11351,446,10
2294,614,92,11351,399,4
2295,609,91,11351,421,7
2296,621,96,11351,406,4
2297,598,94,11352,401,7
2298,606,93,11354,406,6
2299,627,96,11355,407,3
2300,631,99,11356,417,5
2301,598,99,11359,396,5
2302,578,95,11360,388,7
2303,581,87,11361,383,5
2304,578,87,11364,375,3
2305,536,92,11365,330,4
2306,584,94,11366,395,6
2307,617,95,11368,408,5
2308,641,101,11370,411,3
2309,602,102,11371,381,5
2310,573,97,11371,381,7
2311,585,88,11372,393,7
2312,619,92,11372,408,5
2313,609,93,11373,409,7
2314,643,95,11374,405,3
2315,620,91,11375,434,8
2316,618,98,11376,397,4
2317,587,87,11377,401,7
2318,520,89,11378,356,11
2319,612,96,11378,405,5
2320,674,96,11378,447,3
2321,633,91,11378,430,4
2322,646,96,11380,441,5
2323,674,92,11383,464,6
2324,662,92,11384,434,3
2325,627,94,11385,452,8
2326,617,94,11389,429,6
2327,597,97,11390,405,7
2328,564,92,11390,360,5
2329,600,88,11391,393,3
2330,607,99,11392,410,4
2331,637,97,11392,434,4
2332,611,92,11392,420,8
2333,607,94,11393,414,8
2334,637,94,11395,410,4
2335,520,94,11395,328,5
2336,529,89,11396,342,6
2337,647,95,11396,429,3
2338,665,91,11397,450,4
2339,627,89,11397,445,8
2340,619,88,11397,429,6
2341,631,96,11399,415,3
2342,663,86,11400,454,4
2343,657,90,11400,453,4
2344,601,95,11400,412,7
2345,599,93,11402,397,6
2346,613,86,11403,446,10
2347,585,92,11403,379,5
2348,586,86,11403,384,4
2349,590,85,11404,399,8
2350,576,88,11406,389,6
2351,610,92,11406,403,4
2352,640,86,11407,439,5
2353,643,93,11407,456,8
2354,666,95,11408,450,4
2355,651,94,11410,448,6
2356,602,95,11410,411,6
2357,580,97,11410,379,6
2358,564,85,11410,395,11
2359,617,97,11411,406,5
2360,632,100,11411,420,3
2361,589,94,11412,405,6
2362,620,88,11412,445,8
2363,647,91,11413,439,5
2364,579,92,11415,402,8
2365,577,96,11417,375,6
2366,582,102,11418,384,7
2367,575,94,11420,387,7
2368,580,93,11421,383,7
2369,593,89,11421,395,5
2370,579,88,11423,399,7
2371,607,87,11424,417,7
2372,602,89,11426,432,8
2373,622,94,11426,437,6
2374,622,93,11426,421,5
2375,613,91,11426,425,7
2376,583,92,11428,391,7
2377,532,83,11428,378,10
2378,588,90,11428,392,6
2379,599,95,11429,411,7
2380,658,102,11431,440,4
2381,626,92,11431,393,3
2382,587,89,11432,409,7
2383,596,105,11436,395,6
2384,586,96,11438,379,5
2385,596,88,11438,403,6
2386,600,98,11440,389,7
2387,640,101,11440,421,5
2388,636,90,11443,418,4
2389,656,101,11443,432,4
2390,631,90,11443,434,5
2391,618,95,11444,425,5
2392,613,95,11447,416,8
2393,617,92,11448,420,6
2394,560,88,11448,359,3
2395,599,95,11449,399,6
2396,584,91,11449,410,9
2397,609,94,11450,422,6
2398,593,93,11451,392,5
2399,654,95,11452,440,5
2400,611,93,11453,417,7
2401,623,93,11454,423,7
2402,660,92,11457,447,4
2403,685,94,11458,463,3
2404,651,94,11459,433,4
2405,617,92,11460,392,4
2406,644,93,11462,436,5
2407,558,86,11463,386,8
2408,585,98,11464,402,7
2409,531,96,11464,370,12
2410,523,91,11464,342,8
2411,598,89,11466,406,7
2412,587,91,11467,393,5
2413,594,95,11469,392,5
2414,619,94,11471,432,9
2415,619,95,11474,384,3
2416,599,93,11474,396,8
2417,655,93,11474,421,4
2418,590,87,11475,401,7
2419,593,89,11476,420,9
2420,663,87,11477,458,4
2421,624,93,11479,399,3
2422,628,91,11479,414,5
2423,646,92,11479,459,8
2424,592,94,11480,389,7
2425,625,87,11481,418,5
2426,632,87,11483,410,3
2427,612,86,11484,407,7
2428,651,92,11486,458,7
2429,599,92,11486,386,6
2430,610,95,11487,429,10
2431,508,92,11488,353,13
2432,593,96,11489,403,8
2433,602,97,11489,406,6
2434,621,96,11491,431,7
2435,639,90,11495,439,3
2436,643,92,11495,421,3
2437,674,94,11496,460,3
2438,658,93,11496,428,3
2439,632,92,11496,433,7
2440,561,93,11496,382,10
2441,600,100,11496,400,7
2442,636,98,11497,430,5
2443,575,94,11497,413,12
2444,617,93,11497,412,4
2445,591,95,11499,393,7
2446,600,94,11499,394,6
2447,621,94,11501,404,3
2448,646,97,11503,427,3
2449,621,97,11505,422,7
2450,600,96,11505,418,10
2451,611,94,11506,378,4
2452,647,96,11508,425,4
2453,600,100,11509,412,7
2454,645,90,11510,432,4
2455,663,89,11511,440,5
2456,634,95,11512,419,6
2457,552,101,11513,373,11
2458,658,99,11513,417,3
2459,631,90,11514,412,6
2460,603,94,11514,407,7
2461,573,87,11514,381,7
2462,595,102,11516,410,8
2463,618,94,11519,394,3
2464,585,98,11522,385,6
2465,605,93,11523,416,6
2466,629,98,11526,408,3
2467,605,94,11529,375,4
2468,617,94,11531,397,4
2469,639,93,11533,436,5
2470,628,98,11535,412,5
2471,667,92,11537,442,3
2472,652,94,11539,438,3
2473,605,94,11541,412,7
2474,619,92,11542,434,8
2475,602,95,11543,411,8
2476,630,100,11543,414,5
2477,610,95,11544,427,8
2478,620,94,11548,415,6
2479,634,91,11548,433,6
2480,603,94,11548,410,6
2481,574,92,11551,380,7
2482,614,93,11551,404,5
2483,638,93,11553,439,6
2484,613,93,11553,423,7
2485,603,93,11555,408,7
2486,642,97,11558,440,5
2487,674,95,11558,454,3
2488,609,97,11558,418,7
2489,624,96,11559,411,5
2490,605,103,11560,387,5
2491,612,102,11560,386,3
2492,650,94,11564,413,3
2493,614,91,11564,403,5
2494,649,99,11565,440,5
2495,611,97,11565,423,8
2496,602,99,11565,406,7
2497,603,99,11565,394,6
2498,636,90,11565,423,5
2499,624,93,11567,407,3
2500,625,93,11568,413,5
2501,637,94,11571,436,4
2502,616,89,11571,426,6
2503,582,88,11571,390,6
2504,616,95,11572,414,5
2505,642,90,11573,433,4
2506,605,96,11573,419,8
2507,604,98,11573,407,6
2508,639,99,11573,411,3
2509,593,93,11575,399,6
2510,649,99,11575,432,5
2511,627,100,11577,424,5
2512,671,93,11578,466,4
2513,663,89,11578,460,3
2514,606,87,11578,428,8
2515,566,93,11578,366,5
2516,559,95,11579,362,8
2517,586,96,11580,387,7
2518,624,93,11581,421,5
2519,623,93,11582,433,7
2520,552,89,11582,370,7
2521,583,95,11583,381,5
2522,609,93,11583,421,8
2523,589,93,11588,396,5
2524,637,93,11589,444,5
2525,628,95,11589,413,5
2526,564,94,11590,405,12
2527,577,102,11592,388,7
2528,614,99,11594,414,7
2529,589,100,11595,405,8
2530,626,104,11595,392,3
2531,582,90,11597,394,7
2532,623,84,11598,420,5
2533,594,92,11599,387,7
2534,595,88,11599,404,7
2535,624,87,11600,398,4
2536,607,93,11600,417,7
2537,596,91,11601,410,8
2538,653,103,11602,450,7
2539,621,94,11603,422,7
2540,586,88,11605,412,8
2541,610,95,11606,425,7
2542,638,88,11606,420,4
2543,643,90,11606,439,6
2544,588,100,11608,399,7
2545,608,100,11609,405,4
2546,590,92,11610,402,6
2547,600,94,11613,410,6
2548,608,95,11615,418,6
2549,604,102,11620,432,9
2550,457,94,11630,291,5
2551,454,95,11633,298,8
2552,528,100,11638,357,7
2553,529,92,11639,369,8
2554,518,94,11641,356,6
2555,505,98,11645,332,6
2556,497,100,11649,321,5
2557,505,98,11650,320,5
2558,568,96,11650,373,5
2559,505,91,11650,321,5
